Module_accession	% completeness	#missing_KO	list_missing_KO
M00538	33.33	5	K15764, K00141, K15760, K15761, K15763
M00046	33.33	5	K17722, K17723, K00207, K01431, K06016
M00537	33.33	3	K15758, K00141, K15757
M00045	25.0	5	K01712, K01479, K00603, K01745, K13990
M00546	20.0	15	K13480, K16839, K00087, K22879, K01477, K00106, K11177, K16838, K13483, K13482, K13481, K00365, K11178, K13479, K13484
M00038	14.29	10	K10217, K14263, K00452, K00453, K03392, K00463, K23234, K07130, K01432, K00486
M00014	12.5	9	K00002, K16190, K01195, K03331, K00699, K12447, K00012, K14756, K13247
M00346	11.11	9	K08692, K08691, K01689, K11529, K00018, K00600, K01595, K14067, K00024
M00532	11.11	9	K03781, K15893, K15919, K15918, K11517, K00600, K14272, K01601, K19269
M00567	2.5	26	K00580, K00581, K00584, K13942, K11260, K03389, K03388, K00402, K22481, K22480, K00205, K00204, K01499, K00201, K00203, K00202, K00399, K22482, K00401, K03390, K00320, K00672, K00579, K00578, K00577, K00319
